,yn,score
0,1,5
1,1,5
2,1,5
3,1,4.986840331058777
4,1,1.6122636791555067
5,1,5
6,1,5
7,1,5
8,1,4.80856780709366
9,1,3.5007330918408677
10,0,2.3188567295066673
11,1,4.430157883496916
12,0,1.1048127059351565
13,1,4.976194001212903
14,1,4.5
15,1,4.664131040147989
16,1,4.235351968424636
17,1,4.5
18,1,4.770793010653739
19,1,2.744478354784093
20,1,4.994907726126617
21,1,4.680247312460327
22,1,4.5
23,1,4.5
24,1,4.5
25,0,0.4340753461086718
26,1,4.8976753012583645
27,0,0.10383268283975804
28,1,4.993150113667838
29,1,4.945243625531414
30,0,0.00756474772878045
31,0,0.9621975911669507
32,1,1.3286333359902969
33,1,4.997754285815647
34,0,4
35,1,4
36,0,4
37,1,4.990972174371467
38,0,4
39,1,4
40,0,4
41,1,4.988050444335237
42,1,4.992955619369054
43,1,4.95280859375509
44,1,4.88283971203606
45,1,4.864510332155321
46,1,4.9902999349173465
47,1,4.707399399926599
48,1,4.827308564767064
49,1,1.4087155251343764
50,1,4.397116234127243
51,1,4.991695854344526
52,1,4.978314951526027
53,1,4.900957807287734
54,1,4.951879330454067
55,1,4.9767773631141035
56,1,4.976114353572634
57,1,4.978575320284567
58,1,4.92665715040318
59,1,4.997978389343091
60,1,4.7650120527172755
61,0,2.023361818903424
62,1,4.763612397929821
63,1,4.83483428759492
64,1,4.928538046775083
65,0,5
66,0,4
67,1,4.992706365364764
68,0,0.13942081361238992
69,1,4.217333389359768
70,1,4.988375530759366
71,1,4.517549970185703
72,1,4.650237043205613
73,1,4.989335257004047
74,1,4.957715029802737
75,1,0.6003230065058218
76,1,4.984674317237339
77,1,3.587479988798776
78,1,4.966122550742754
79,1,4.944726106263046
80,1,1.9330139558609318
81,1,4
82,1,4.80762529425492
83,1,4
84,1,0.612329942669112
85,1,4
86,1,4.940389912321886
87,1,0.17875373180799892
88,1,4.964327233965126
89,1,1.092233093085802
90,1,4.820065107588132
91,1,3.3355223403884335
92,1,1.0625102433411393
93,1,4.979789670739472
94,1,4.986269386940145
95,1,4.183252393545025
96,1,3.4657603336380305
97,1,4.99188518645059
98,0,3
99,1,3
100,1,4.7207341553146644
101,1,4.997562384023661
102,1,3
103,0,3
104,1,4.887931369420188
105,1,5
